,background,params,distance
81,video4_frame,"{'h': 0.1, 'c': 0.5, 'b': 1.5}",31024.702492261804
83,video4_frame,"{'h': 0.1, 'c': 1.5, 'b': 1.5}",31024.702492261804
80,video4_frame,"{'h': 0.1, 'c': 0.5, 'b': 0.5}",31337.350027268985
82,video4_frame,"{'h': 0.1, 'c': 1.5, 'b': 0.5}",31337.350027268985
87,video4_frame,"{'h': 0.2, 'c': 1.5, 'b': 1.5}",48773.536564356495
85,video4_frame,"{'h': 0.2, 'c': 0.5, 'b': 1.5}",48773.536564356495
84,video4_frame,"{'h': 0.2, 'c': 0.5, 'b': 0.5}",48976.885422691455
86,video4_frame,"{'h': 0.2, 'c': 1.5, 'b': 0.5}",48976.885422691455
89,video4_frame,"{'h': 0.3, 'c': 0.5, 'b': 1.5}",67071.12645137847
91,video4_frame,"{'h': 0.3, 'c': 1.5, 'b': 1.5}",67071.12645137847
88,video4_frame,"{'h': 0.3, 'c': 0.5, 'b': 0.5}",67383.59108126206
90,video4_frame,"{'h': 0.3, 'c': 1.5, 'b': 0.5}",67383.59108126206
95,video4_frame,"{'h': 0.4, 'c': 1.5, 'b': 1.5}",85474.66650146649
93,video4_frame,"{'h': 0.4, 'c': 0.5, 'b': 1.5}",85474.66650146649
94,video4_frame,"{'h': 0.4, 'c': 1.5, 'b': 0.5}",85634.58111555027
92,video4_frame,"{'h': 0.4, 'c': 0.5, 'b': 0.5}",85634.58111555027
97,video4_frame,"{'h': 0.5, 'c': 0.5, 'b': 1.5}",101471.71006634958
99,video4_frame,"{'h': 0.5, 'c': 1.5, 'b': 1.5}",101471.71006634958
98,video4_frame,"{'h': 0.5, 'c': 1.5, 'b': 0.5}",101757.94592317546
96,video4_frame,"{'h': 0.5, 'c': 0.5, 'b': 0.5}",101757.94592317546
