,background,params,distance
63,video3_frame,"{'h': 0.1, 'c': 1.5, 'b': 1.5}",38317.106332707735
61,video3_frame,"{'h': 0.1, 'c': 0.5, 'b': 1.5}",38317.106332707735
60,video3_frame,"{'h': 0.1, 'c': 0.5, 'b': 0.5}",38431.46243653513
62,video3_frame,"{'h': 0.1, 'c': 1.5, 'b': 0.5}",38431.46243653513
67,video3_frame,"{'h': 0.2, 'c': 1.5, 'b': 1.5}",57206.24745953525
65,video3_frame,"{'h': 0.2, 'c': 0.5, 'b': 1.5}",57206.24745953525
66,video3_frame,"{'h': 0.2, 'c': 1.5, 'b': 0.5}",57343.79105193698
64,video3_frame,"{'h': 0.2, 'c': 0.5, 'b': 0.5}",57343.79105193698
71,video3_frame,"{'h': 0.3, 'c': 1.5, 'b': 1.5}",77526.68290850768
69,video3_frame,"{'h': 0.3, 'c': 0.5, 'b': 1.5}",77526.68290850768
70,video3_frame,"{'h': 0.3, 'c': 1.5, 'b': 0.5}",77564.89431844783
68,video3_frame,"{'h': 0.3, 'c': 0.5, 'b': 0.5}",77564.89431844783
73,video3_frame,"{'h': 0.4, 'c': 0.5, 'b': 1.5}",98176.06919629071
75,video3_frame,"{'h': 0.4, 'c': 1.5, 'b': 1.5}",98176.06919629071
74,video3_frame,"{'h': 0.4, 'c': 1.5, 'b': 0.5}",98287.91107098367
72,video3_frame,"{'h': 0.4, 'c': 0.5, 'b': 0.5}",98287.91107098367
79,video3_frame,"{'h': 0.5, 'c': 1.5, 'b': 1.5}",116384.60224500083
77,video3_frame,"{'h': 0.5, 'c': 0.5, 'b': 1.5}",116384.60224500083
78,video3_frame,"{'h': 0.5, 'c': 1.5, 'b': 0.5}",116699.42594123264
76,video3_frame,"{'h': 0.5, 'c': 0.5, 'b': 0.5}",116699.42594123264
