,background,params,distance
158,2_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.7}",67742.6851503177
161,2_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.7}",67742.6851503177
155,2_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.7}",67742.6851503177
149,2_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.7}",66564.79025932816
146,2_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.7}",66564.79025932816
152,2_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.7}",66564.79025932816
122,2_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.7}",60966.3450211294
119,2_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.7}",60966.3450211294
125,2_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.7}",60966.3450211294
137,2_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.7}",60805.57408912054
140,2_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.7}",60805.57408912054
143,2_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.7}",60805.57408912054
128,2_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.7}",56850.72402260901
131,2_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.7}",56850.72402260901
134,2_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.7}",56850.72402260901
154,2_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.1}",53919.489859197565
157,2_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.1}",53919.489859197565
160,2_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.1}",53919.489859197565
145,2_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.1}",50688.606413151356
151,2_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.1}",50688.606413151356
148,2_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.1}",50688.606413151356
121,2_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.1}",47483.109187777554
118,2_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.1}",47483.109187777554
