,background,params,distance
88,video2_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.1}",20456.075239981485
85,video2_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.1}",20456.075239981485
82,video2_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.1}",20456.075239981485
97,video2_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.1}",25754.58765854712
91,video2_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.1}",25754.58765854712
94,video2_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.1}",25754.58765854712
144,video2_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 0.4}",26184.789873257083
147,video2_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 0.4}",26184.789873257083
150,video2_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 0.4}",26184.789873257083
108,video2_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 0.4}",27436.099178562956
111,video2_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 0.4}",27436.099178562956
114,video2_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 0.4}",27436.099178562956
99,video2_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 0.4}",27699.931192103493
102,video2_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 0.4}",27699.931192103493
105,video2_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 0.4}",27699.931192103493
96,video2_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 0.4}",28412.802121999488
93,video2_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 0.4}",28412.802121999488
90,video2_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 0.4}",28412.802121999488
135,video2_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 0.4}",28577.13004281357
138,video2_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 0.4}",28577.13004281357
141,video2_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 0.4}",28577.13004281357
117,video2_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 0.4}",28669.456946494734
120,video2_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 0.4}",28669.456946494734
123,video2_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 0.4}",28669.456946494734
153,video2_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 0.4}",28985.4921314939
156,video2_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 0.4}",28985.4921314939
159,video2_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 0.4}",28985.4921314939
81,video2_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 0.4}",29269.62525557241
84,video2_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 0.4}",29269.62525557241
87,video2_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 0.4}",29269.62525557241
126,video2_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 0.4}",29526.142327238722
132,video2_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 0.4}",29526.142327238722
129,video2_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 0.4}",29526.142327238722
103,video2_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.1}",29878.10392121711
100,video2_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.1}",29878.10392121711
106,video2_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.1}",29878.10392121711
115,video2_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.1}",33073.59622457544
112,video2_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.1}",33073.59622457544
109,video2_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.1}",33073.59622457544
86,video2_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.7}",36152.780403834
83,video2_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.7}",36152.780403834
89,video2_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.7}",36152.780403834
127,video2_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.1}",37619.49555225007
133,video2_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.1}",37619.49555225007
130,video2_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.1}",37619.49555225007
98,video2_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.7}",39344.84058066433
95,video2_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.7}",39344.84058066433
92,video2_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.7}",39344.84058066433
104,video2_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.7}",41635.11624111895
107,video2_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.7}",41635.11624111895
101,video2_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.7}",41635.11624111895
142,video2_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.1}",41773.73553568411
139,video2_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.1}",41773.73553568411
136,video2_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.1}",41773.73553568411
116,video2_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.7}",44753.13859319005
113,video2_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.7}",44753.13859319005
110,video2_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.7}",44753.13859319005
124,video2_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.1}",47483.109187777554
118,video2_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.1}",47483.109187777554
121,video2_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.1}",47483.109187777554
145,video2_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.1}",50688.606413151356
148,video2_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.1}",50688.606413151356
151,video2_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.1}",50688.606413151356
157,video2_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.1}",53919.489859197565
160,video2_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.1}",53919.489859197565
154,video2_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.1}",53919.489859197565
131,video2_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.7}",56850.72402260901
128,video2_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.7}",56850.72402260901
134,video2_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.7}",56850.72402260901
143,video2_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.7}",60805.57408912054
137,video2_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.7}",60805.57408912054
140,video2_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.7}",60805.57408912054
119,video2_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.7}",60966.3450211294
122,video2_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.7}",60966.3450211294
125,video2_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.7}",60966.3450211294
146,video2_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.7}",66564.79025932816
149,video2_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.7}",66564.79025932816
152,video2_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.7}",66564.79025932816
155,video2_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.7}",67742.6851503177
158,video2_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.7}",67742.6851503177
161,video2_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.7}",67742.6851503177
