,background,params,distance
78,video4_frame_hard,"{'h': 0.5, 'c': 1.5, 'b': 0.5}",78846.2946692927
76,video4_frame_hard,"{'h': 0.5, 'c': 0.5, 'b': 0.5}",78846.2946692927
72,video4_frame_hard,"{'h': 0.4, 'c': 0.5, 'b': 0.5}",91413.1503356228
74,video4_frame_hard,"{'h': 0.4, 'c': 1.5, 'b': 0.5}",91413.1503356228
60,video4_frame_hard,"{'h': 0.1, 'c': 0.5, 'b': 0.5}",92020.12129296921
62,video4_frame_hard,"{'h': 0.1, 'c': 1.5, 'b': 0.5}",92020.12129296921
79,video4_frame_hard,"{'h': 0.5, 'c': 1.5, 'b': 1.5}",93418.11846273078
77,video4_frame_hard,"{'h': 0.5, 'c': 0.5, 'b': 1.5}",93418.11846273078
61,video4_frame_hard,"{'h': 0.1, 'c': 0.5, 'b': 1.5}",93647.98747616426
63,video4_frame_hard,"{'h': 0.1, 'c': 1.5, 'b': 1.5}",93647.98747616426
68,video4_frame_hard,"{'h': 0.3, 'c': 0.5, 'b': 0.5}",94647.08579268734
70,video4_frame_hard,"{'h': 0.3, 'c': 1.5, 'b': 0.5}",94647.08579268734
66,video4_frame_hard,"{'h': 0.2, 'c': 1.5, 'b': 0.5}",96477.53970202693
64,video4_frame_hard,"{'h': 0.2, 'c': 0.5, 'b': 0.5}",96477.53970202693
73,video4_frame_hard,"{'h': 0.4, 'c': 0.5, 'b': 1.5}",106970.87411303975
75,video4_frame_hard,"{'h': 0.4, 'c': 1.5, 'b': 1.5}",106970.87411303975
67,video4_frame_hard,"{'h': 0.2, 'c': 1.5, 'b': 1.5}",119320.96584253277
65,video4_frame_hard,"{'h': 0.2, 'c': 0.5, 'b': 1.5}",119320.96584253277
71,video4_frame_hard,"{'h': 0.3, 'c': 1.5, 'b': 1.5}",122344.77217967957
69,video4_frame_hard,"{'h': 0.3, 'c': 0.5, 'b': 1.5}",122344.77217967957
