,background,params,distance
17,video1_frame_hard,"{'h': 0.5, 'c': 0.5, 'b': 1.5}",77129.66196816934
19,video1_frame_hard,"{'h': 0.5, 'c': 1.5, 'b': 1.5}",77129.66196816934
1,video1_frame_hard,"{'h': 0.1, 'c': 0.5, 'b': 1.5}",84411.55533934744
3,video1_frame_hard,"{'h': 0.1, 'c': 1.5, 'b': 1.5}",84411.55533934744
2,video1_frame_hard,"{'h': 0.1, 'c': 1.5, 'b': 0.5}",85279.10941273035
0,video1_frame_hard,"{'h': 0.1, 'c': 0.5, 'b': 0.5}",85279.10941273035
18,video1_frame_hard,"{'h': 0.5, 'c': 1.5, 'b': 0.5}",87977.0480052129
16,video1_frame_hard,"{'h': 0.5, 'c': 0.5, 'b': 0.5}",87977.0480052129
4,video1_frame_hard,"{'h': 0.2, 'c': 0.5, 'b': 0.5}",103065.24186050374
6,video1_frame_hard,"{'h': 0.2, 'c': 1.5, 'b': 0.5}",103065.24186050374
14,video1_frame_hard,"{'h': 0.4, 'c': 1.5, 'b': 0.5}",103090.78240523688
12,video1_frame_hard,"{'h': 0.4, 'c': 0.5, 'b': 0.5}",103090.78240523688
10,video1_frame_hard,"{'h': 0.3, 'c': 1.5, 'b': 0.5}",104233.28547489674
8,video1_frame_hard,"{'h': 0.3, 'c': 0.5, 'b': 0.5}",104233.28547489674
15,video1_frame_hard,"{'h': 0.4, 'c': 1.5, 'b': 1.5}",106801.58126839955
13,video1_frame_hard,"{'h': 0.4, 'c': 0.5, 'b': 1.5}",106801.58126839955
5,video1_frame_hard,"{'h': 0.2, 'c': 0.5, 'b': 1.5}",108836.1681798217
7,video1_frame_hard,"{'h': 0.2, 'c': 1.5, 'b': 1.5}",108836.1681798217
9,video1_frame_hard,"{'h': 0.3, 'c': 0.5, 'b': 1.5}",117401.18723454114
11,video1_frame_hard,"{'h': 0.3, 'c': 1.5, 'b': 1.5}",117401.18723454114
