,background,params,distance
263,4_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.7}",124286.25276731282
269,4_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.7}",124286.25276731282
266,4_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.7}",124286.25276731282
260,4_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.7}",121291.61574914175
254,4_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.7}",121291.61574914175
257,4_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.7}",121291.61574914175
268,4_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.1}",117523.29472467951
265,4_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.1}",117523.29472467951
262,4_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.1}",117523.29472467951
259,4_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.1}",114408.77180703242
256,4_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.1}",114408.77180703242
253,4_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.1}",114408.77180703242
275,4_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.7}",109735.10184163583
278,4_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.7}",109735.10184163583
272,4_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.7}",109735.10184163583
277,4_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.1}",107791.3671125145
274,4_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.1}",107791.3671125145
271,4_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.1}",107791.3671125145
320,4_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.7}",98327.80845400455
323,4_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.7}",98327.80845400455
317,4_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.7}",98327.80845400455
314,4_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.7}",97817.27175682555
311,4_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.7}",97817.27175682555
308,4_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.7}",97817.27175682555
287,4_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.7}",97502.0161577405
284,4_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.7}",97502.0161577405
281,4_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.7}",97502.0161577405
251,4_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.7}",96827.96989467955
245,4_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.7}",96827.96989467955
248,4_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.7}",96827.96989467955
255,4_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 0.4}",95269.3071627039
258,4_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 0.4}",95269.3071627039
252,4_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 0.4}",95269.3071627039
249,4_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 0.4}",94733.041229306
243,4_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 0.4}",94733.041229306
246,4_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 0.4}",94733.041229306
261,4_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 0.4}",93686.28633697872
264,4_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 0.4}",93686.28633697872
267,4_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 0.4}",93686.28633697872
270,4_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 0.4}",91314.0316078734
276,4_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 0.4}",91314.0316078734
273,4_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 0.4}",91314.0316078734
299,4_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.7}",89716.79121552042
302,4_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.7}",89716.79121552042
305,4_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.7}",89716.79121552042
280,4_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.1}",87033.49305750687
283,4_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.1}",87033.49305750687
286,4_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.1}",87033.49305750687
290,4_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.7}",86191.15626688281
293,4_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.7}",86191.15626688281
296,4_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.7}",86191.15626688281
291,4_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 0.4}",82746.37750753133
294,4_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 0.4}",82746.37750753133
