,background,params,distance
344,5_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.7}",83675.99107387663
347,5_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.7}",83675.99107387663
350,5_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.7}",83675.99107387663
335,5_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.7}",77346.87778144825
338,5_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.7}",77346.87778144825
341,5_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.7}",77346.87778144825
359,5_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.7}",76752.31241671584
356,5_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.7}",76752.31241671584
353,5_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.7}",76752.31241671584
349,5_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.1}",76175.63743424871
346,5_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.1}",76175.63743424871
343,5_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.1}",76175.63743424871
352,5_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.1}",72448.16132036159
355,5_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.1}",72448.16132036159
358,5_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.1}",72448.16132036159
383,5_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.7}",70526.27427848501
386,5_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.7}",70526.27427848501
380,5_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.7}",70526.27427848501
337,5_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.1}",68362.85734198005
334,5_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.1}",68362.85734198005
340,5_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.1}",68362.85734198005
345,5_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 0.4}",67905.64004323736
348,5_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 0.4}",67905.64004323736
342,5_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 0.4}",67905.64004323736
339,5_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 0.4}",67153.9805441777
336,5_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 0.4}",67153.9805441777
333,5_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 0.4}",67153.9805441777
389,5_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.7}",67107.04610621904
392,5_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.7}",67107.04610621904
395,5_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.7}",67107.04610621904
351,5_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 0.4}",66554.26370377062
357,5_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 0.4}",66554.26370377062
354,5_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 0.4}",66554.26370377062
329,5_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.7}",64277.841384268766
332,5_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.7}",64277.841384268766
326,5_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.7}",64277.841384268766
371,5_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.7}",63851.68856106794
374,5_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.7}",63851.68856106794
377,5_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.7}",63851.68856106794
360,5_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 0.4}",61444.82250036482
363,5_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 0.4}",61444.82250036482
366,5_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 0.4}",61444.82250036482
324,5_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 0.4}",60947.38316972157
330,5_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 0.4}",60947.38316972157
327,5_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 0.4}",60947.38316972157
402,5_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 0.4}",58883.049750371676
399,5_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 0.4}",58883.049750371676
396,5_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 0.4}",58883.049750371676
361,5_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.1}",58638.82309593932
367,5_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.1}",58638.82309593932
364,5_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.1}",58638.82309593932
362,5_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.7}",57231.969239725906
368,5_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.7}",57231.969239725906
365,5_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.7}",57231.969239725906
390,5_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 0.4}",56523.417837284396
387,5_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 0.4}",56523.417837284396
393,5_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 0.4}",56523.417837284396
372,5_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 0.4}",55661.809017590414
375,5_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 0.4}",55661.809017590414
369,5_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 0.4}",55661.809017590414
378,5_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 0.4}",55227.19188065531
381,5_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 0.4}",55227.19188065531
384,5_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 0.4}",55227.19188065531
400,5_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.1}",55149.92526466353
397,5_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.1}",55149.92526466353
403,5_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.1}",55149.92526466353
388,5_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.1}",54331.56010181956
391,5_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.1}",54331.56010181956
394,5_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.1}",54331.56010181956
401,5_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.7}",53836.2127788221
398,5_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.7}",53836.2127788221
404,5_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.7}",53836.2127788221
379,5_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.1}",48353.25583519168
385,5_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.1}",48353.25583519168
382,5_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.1}",48353.25583519168
370,5_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.1}",43251.15697610593
376,5_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.1}",43251.15697610593
373,5_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.1}",43251.15697610593
331,5_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.1}",34723.35031199678
