,background,params,distance
23,video1_frame,"{'h': 0.1, 'c': 1.5, 'b': 1.5}",14584.60981460117
21,video1_frame,"{'h': 0.1, 'c': 0.5, 'b': 1.5}",14584.60981460117
20,video1_frame,"{'h': 0.1, 'c': 0.5, 'b': 0.5}",15161.809201641185
22,video1_frame,"{'h': 0.1, 'c': 1.5, 'b': 0.5}",15161.809201641185
25,video1_frame,"{'h': 0.2, 'c': 0.5, 'b': 1.5}",31708.016882530294
27,video1_frame,"{'h': 0.2, 'c': 1.5, 'b': 1.5}",31708.016882530294
24,video1_frame,"{'h': 0.2, 'c': 0.5, 'b': 0.5}",31854.246687186085
26,video1_frame,"{'h': 0.2, 'c': 1.5, 'b': 0.5}",31854.246687186085
30,video1_frame,"{'h': 0.3, 'c': 1.5, 'b': 0.5}",48251.706006760585
28,video1_frame,"{'h': 0.3, 'c': 0.5, 'b': 0.5}",48251.706006760585
29,video1_frame,"{'h': 0.3, 'c': 0.5, 'b': 1.5}",48311.34062282575
31,video1_frame,"{'h': 0.3, 'c': 1.5, 'b': 1.5}",48311.34062282575
34,video1_frame,"{'h': 0.4, 'c': 1.5, 'b': 0.5}",64351.3745824913
32,video1_frame,"{'h': 0.4, 'c': 0.5, 'b': 0.5}",64351.3745824913
33,video1_frame,"{'h': 0.4, 'c': 0.5, 'b': 1.5}",64483.31641762263
35,video1_frame,"{'h': 0.4, 'c': 1.5, 'b': 1.5}",64483.31641762263
36,video1_frame,"{'h': 0.5, 'c': 0.5, 'b': 0.5}",78481.11705578359
38,video1_frame,"{'h': 0.5, 'c': 1.5, 'b': 0.5}",78481.11705578359
39,video1_frame,"{'h': 0.5, 'c': 1.5, 'b': 1.5}",78578.2041621011
37,video1_frame,"{'h': 0.5, 'c': 0.5, 'b': 1.5}",78578.2041621011
