,background,params,distance
331,video5_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.1}",34723.35031199678
328,video5_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.1}",34723.35031199678
325,video5_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.1}",34723.35031199678
370,video5_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.1}",43251.15697610593
376,video5_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.1}",43251.15697610593
373,video5_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.1}",43251.15697610593
385,video5_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.1}",48353.25583519168
382,video5_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.1}",48353.25583519168
379,video5_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.1}",48353.25583519168
404,video5_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.7}",53836.2127788221
401,video5_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.7}",53836.2127788221
398,video5_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.7}",53836.2127788221
391,video5_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.1}",54331.56010181956
394,video5_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.1}",54331.56010181956
388,video5_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.1}",54331.56010181956
400,video5_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 1.1}",55149.92526466353
403,video5_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 1.1}",55149.92526466353
397,video5_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 1.1}",55149.92526466353
378,video5_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 0.4}",55227.19188065531
381,video5_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 0.4}",55227.19188065531
384,video5_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 0.4}",55227.19188065531
375,video5_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 0.4}",55661.809017590414
372,video5_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 0.4}",55661.809017590414
369,video5_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 0.4}",55661.809017590414
393,video5_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 0.4}",56523.417837284396
390,video5_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 0.4}",56523.417837284396
387,video5_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 0.4}",56523.417837284396
368,video5_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.7}",57231.969239725906
365,video5_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.7}",57231.969239725906
362,video5_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.7}",57231.969239725906
361,video5_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.1}",58638.82309593932
364,video5_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.1}",58638.82309593932
367,video5_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.1}",58638.82309593932
396,video5_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 0.4}",58883.049750371676
