,background,params,distance
71,1_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.7}",58058.949390963564
68,1_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.7}",58058.949390963564
4,1_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.1}",54743.938433398966
1,1_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.1}",54743.938433398966
7,1_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.1}",54743.938433398966
55,1_frame_hard,"{'h': -0.25, 'c': 0.4, 'b': 1.1}",46816.15404906921
58,1_frame_hard,"{'h': -0.25, 'c': 1.1, 'b': 1.1}",46816.15404906921
61,1_frame_hard,"{'h': -0.25, 'c': 1.7, 'b': 1.1}",46816.15404906921
46,1_frame_hard,"{'h': -0.15, 'c': 0.4, 'b': 1.1}",45815.360592631456
49,1_frame_hard,"{'h': -0.15, 'c': 1.1, 'b': 1.1}",45815.360592631456
52,1_frame_hard,"{'h': -0.15, 'c': 1.7, 'b': 1.1}",45815.360592631456
67,1_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 1.1}",45422.5556853017
64,1_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 1.1}",45422.5556853017
70,1_frame_hard,"{'h': -0.35, 'c': 1.7, 'b': 1.1}",45422.5556853017
