,episode_0_reward,episode_1_reward,episode_0_train,episode_1_train
0,0.0011370918487000259,0.0004308742826326386,1,1
1,0.020730104711235063,0.016143729213590242,1,1
2,0.10263677021664817,0.09276621581375269,1,1
3,0.28814141059045617,0.27418632636241475,1,1
4,0.6119013887472031,0.5948489431948601,-1,-1
5,0.8989531249330457,0.8907459994298035,-1,-1
6,0.8180222616090189,0.8311892719518069,-1,-1
7,0.46521015828485157,0.47547197914322936,-1,-1
8,0.1446482404547276,0.1526161464428446,-1,-1
9,0.012257991957090425,0.012724741641188506,1,1
10,0.1697781316832406,0.15728677918236175,1,1
11,0.7002727082451261,0.672834533312312,1,1
12,1.503268307164824,1.4689195150997838,1,1
13,2.387681402497998,2.3572332317883844,1,1
14,3.3188998644285377,3.3939083924005597,-1,-1
15,4.965889121439952,4.92845365065979,-1,-1
16,6.116560657176683,5.860968009243985,-1,-1
17,6.805228060505418,6.837917553681197,-1,-1
18,6.9020941520920305,7.067558926215438,-1,-1
19,6.888365864782642,7.020109083845706,1,1
20,6.610177313899265,6.702480507718405,1,1
21,6.135947499203145,6.647767236862094,1,1
22,6.281594212530502,6.358568130718053,1,1
23,6.018186838584766,6.12703405440796,1,1
24,5.530113837071979,6.2951577186016845,-1,-1
25,5.783408384056421,6.344865443406621,-1,-1
26,6.14226076940533,6.588610130395299,-1,-1
27,6.298251434933257,6.874674352389884,-1,-1
28,6.522156490290344,7.124798583946553,-1,-1
29,6.770504336345207,7.324877746281496,1,1
30,7.050647160588885,7.482540699869742,1,1
31,7.289051318621207,7.609406333455586,1,1
32,7.471986348289469,7.703438693031402,1,1
33,7.658384406688724,7.805701153549544,1,1
34,7.751261261106629,7.863277503111329,-1,-1
35,7.835734865074567,7.84641716738331,-1,-1
36,7.828238433890034,7.843752267388329,-1,-1
37,7.790475244980052,7.885767184770325,-1,-1
38,7.7019919072919665,7.889144826975066,-1,-1
39,7.742732749270639,7.917043881599509,1,1
40,7.741774970911967,7.900347501078869,1,1
41,7.792757750877736,7.913526540555452,1,1
42,7.791697569915132,7.905240822880854,1,1
43,7.837122134066291,7.886133776740724,1,1
44,7.87098442666246,7.870713746965788,-1,-1
