,episode_0_reward,episode_1_reward,episode_0_train,episode_1_train
0,0.0011370918487000259,0.0004308742826326386,1,1
1,0.020730104711235063,0.016143729213590242,1,1
2,0.10263677021664817,0.09276621581375269,1,1
3,0.288123682623836,0.27418632636241475,1,1
4,0.6119055983241224,0.5948493559852398,1,1
5,0.8985320458760299,0.8902989589274861,1,1
6,0.8150161115897026,0.8256880868056975,1,1
7,0.45960367062122565,0.4691655151529471,1,1
8,0.1418373975109491,0.14903137509929712,1,1
9,0.011947674476680124,0.012341262872328954,1,1
10,0.16589673276514513,0.15456368321255196,1,1
11,0.6827864008881627,0.6587508058207258,1,1
12,1.4843382753671515,1.4526831614760745,1,1
13,2.385443016087443,2.3560901358585102,1,1
14,3.30189161729466,3.8430709080595715,1,1
15,5.03939037369703,5.127483429445991,1,1
16,6.113816954827283,6.16155351080137,1,1
17,7.01727795512993,6.891346196431975,1,1
18,7.3385443183941765,7.23508613730044,1,1
19,7.404932809409875,7.302899847554824,1,1
20,7.289573774814201,7.201713993588486,1,1
21,6.98210827880747,6.915499735341544,1,1
22,6.7499622997076045,7.0117416853348224,1,1
23,6.276380875623621,6.943377203115216,1,1
24,6.276694579331279,6.916061479681044,1,1
25,6.571027482841966,7.061992645863264,1,1
26,6.773642934132191,7.153644573402885,1,1
27,7.010215566137068,7.4050256758819435,1,1
28,7.236585843538971,7.5263678672210945,1,1
29,7.467867515276734,7.643387425280888,1,1
30,7.653297367740521,7.734925454397271,1,1
31,7.7744148740198185,7.762047802598159,1,1
32,7.833661104265504,7.819229840889568,1,1
33,7.8921402797226,7.851741392201628,1,1
34,7.90361057406744,7.835418504179948,1,1
35,7.696341721536659,7.882665422854904,1,1
36,7.87833803287661,7.92533700739458,1,1
37,7.9657444876148595,7.945974790909633,1,1
38,7.9792141701542745,7.92574477951978,1,1
39,7.968158230524897,7.920289968360767,1,1
40,7.97796222373074,7.916556154702064,1,1
41,7.986962691325488,7.905522694651381,1,1
42,7.991831382125592,7.870375231336861,1,1
43,7.991545728334099,7.898807971407546,1,1
44,7.991051459226688,7.893425498649189,1,1
45,7.991959811582344,7.888688145194451,1,1
