,episode_0_reward,episode_0_train
0,0.0004308742826326386,1
1,0.016143729213590242,1
2,0.09276621581375269,1
3,0.27418632636241475,1
4,0.5948490543308096,-1
5,0.8907460331675404,-1
6,0.831189385766973,-1
7,0.4754721024154521,-1
8,0.15261622207737835,-1
9,0.012724569396620717,1
10,0.15728896570222206,1
11,0.6728422560523021,1
12,1.4689308751521617,1
13,2.3572209392716315,1
14,3.392789668768513,-1
15,4.928451639753799,-1
16,5.859295640242484,-1
17,6.839288486803698,-1
18,7.068287019081135,-1
19,7.003069596706313,1
20,6.796696985312064,1
21,6.614742792643157,1
22,6.204862981888323,1
23,6.1864269637065625,1
24,6.195793540428231,-1
25,6.342037465357481,-1
26,6.639896314744611,-1
27,6.858008548849601,-1
28,7.10662874135194,-1
29,7.3217569981554895,1
30,7.46652513977599,1
31,7.6550589501459685,1
32,7.717782932269475,1
33,7.828224474167331,1
34,7.86547838983776,-1
35,7.889964118462403,-1
36,7.905891168069115,-1
37,7.897992515141808,-1
38,7.944712918276736,-1
39,7.904666068742552,1
40,7.931097784501413,1
41,7.900707385879407,1
42,7.894198285394276,1
43,7.913472778439904,1
44,7.90536766810395,-1
45,7.826580428564737,-1
46,7.917412890863947,-1
47,7.947669024258947,-1
48,7.955393413375752,-1
49,7.956842292658777,1
50,7.939102764961394,1
51,7.9586351726336115,1
52,7.954868393766643,1
53,7.946389162509128,1
54,7.96730046954915,-1
55,7.975483724551311,-1
56,7.9786768961689924,-1
57,7.953890693845149,-1
58,7.958064024968232,-1
59,7.940360027820423,1
60,7.949887062258504,1
61,7.926133470863987,1
62,7.904703651513514,1
63,7.849761904322954,1
64,7.9057499234247075,-1
65,7.929148845442925,-1
66,7.934507010084919,-1
67,7.937687502916784,-1
68,7.938128271608406,-1
69,7.921984259553614,1
70,7.911123077376153,1
71,7.894869930291809,1
72,7.891600468640785,1
73,7.89029081240443,1
74,7.841336298498663,-1
75,7.908784494879178,-1
76,7.923783823585164,-1
77,7.8995980683147575,-1
78,7.904832487406641,-1
79,7.891726627764594,1
80,7.896848308174592,1
81,7.867970482097341,1
82,7.812079238492126,1
83,7.853536596455808,1
84,7.851805459798921,-1
85,7.861120345891264,-1
86,7.841235836782369,-1
87,7.886519551191867,-1
88,7.897113002732175,-1
89,7.8501105978231775,1
90,7.884062661273511,1
91,7.87056800081831,1
92,7.8600537574148825,1
93,7.814014467077126,1
94,7.883261528499435,-1
95,7.833720767892686,-1
96,7.90883904215851,-1
97,7.913737112575088,-1
98,7.904291688544943,-1
99,7.904598723690669,1
100,7.901547803867809,1
101,7.898140465226412,1
102,7.89198561436597,1
103,7.889111752265637,1
104,7.832832406893924,-1
105,7.848926425594524,-1
106,7.896760843969831,-1
107,7.9209064685675745,-1
108,7.913116801124744,-1
109,7.899253880051945,1
110,7.87752247504794,1
111,7.861852074204594,1
112,7.8005933321773275,1
113,7.850712316914482,1
114,7.85823534059928,-1
115,7.834590405235272,-1
116,7.896161107500641,-1
117,7.911458278779784,-1
118,7.912469816200054,-1
119,7.882059301989747,1
120,7.910644556560379,1
121,7.906845493483112,1
122,7.894769555402416,1
123,7.886001174916812,1
124,7.8969121209026785,-1
125,7.923752706289146,-1
126,7.936623914287612,-1
127,7.9140492552684085,-1
128,7.92351250466832,-1
129,7.91900140377709,1
130,7.901880561873493,1
131,7.878658288615625,1
132,7.854870942070313,1
133,7.78437379440415,1
134,7.821758486016424,-1
135,7.904700296497829,-1
136,7.932199138134278,-1
137,7.947231171469962,-1
138,7.932599186276388,-1
139,7.888976860462359,1
140,7.8785057336981446,1
141,7.8966642854744835,1
142,7.841892696577116,1
143,7.86138767039398,1
144,7.906658921156401,-1
145,7.928392668905571,-1
146,7.938404948630533,-1
147,7.94922788562124,-1
148,7.903677720339106,-1
149,7.943953804581492,1
150,7.911770021340958,1
151,7.9044398443886275,1
152,7.816324544434233,1
153,7.883015659345865,1
154,7.9324184049982245,-1
155,7.949322030658845,-1
156,7.955914388276183,-1
157,7.957200617544698,-1
158,7.915610891436171,-1
159,7.9385122433645146,1
160,7.934420305230743,1
161,7.942047868318142,1
162,7.918711704430563,1
163,7.942880561130188,1
164,7.908327973267938,-1
165,7.951654058327371,-1
166,7.964120268467541,-1
167,7.9658938672863115,-1
168,7.967402956314472,-1
169,7.967879566685313,1
170,7.947116888430536,1
171,7.950263268227761,1
172,7.938053570054389,1
173,7.956749085971294,1
174,7.9565156007182765,-1
175,7.972417496821735,-1
176,7.972631805873661,-1
177,7.968251790569226,-1
178,7.9627615274924635,-1
179,7.912699591007025,1
180,7.891711188251928,1
181,7.935828614622718,1
182,7.913839907107828,1
183,7.924797550889197,1
184,7.922909853723525,-1
185,7.919816276471312,-1
186,7.937905878819219,-1
187,7.9577664626579185,-1
188,7.951365997859363,-1
189,7.955972212567046,1
190,7.958251127747063,1
191,7.946121936407756,1
192,7.921518066520932,1
193,7.87883340662321,1
194,7.94273591412906,-1
195,7.963441043994279,-1
196,7.9682643465261815,-1
197,7.982039957446869,-1
198,7.967129862564958,-1
199,7.925286903343703,1
200,7.91352064546763,1
201,7.933415615408772,1
202,7.882644638605495,1
203,7.914536732786574,1
204,7.931012547587967,-1
205,7.940568938008808,-1
206,7.952345956560668,-1
207,7.959348952100127,-1
208,7.9478711579036405,-1
209,7.9201252663747015,1
210,7.905608668211469,1
211,7.956106235671296,1
212,7.966532178526,1
213,7.96465386253585,1
214,7.960532827232587,-1
215,7.976331669800071,-1
216,7.97123042465452,-1
