,episode_0_reward,episode_1_reward,episode_0_train,episode_1_train
0,0.0011370918487000259,0.0004308742826326386,1,1
1,0.020730104711235063,0.016143729213590242,1,1
2,0.10263677021664817,0.09276621581375269,1,1
3,0.288123682623836,0.27418632636241475,1,1
4,0.6119055983241224,0.5948439578948819,1,1
5,0.8985320458760299,0.8902973219796328,1,1
6,0.8150161115897026,0.8256825959407206,1,1
7,0.4595946439832893,0.4691596065822305,1,1
8,0.14183553147016903,0.14902610780687262,1,1
9,0.011947638429284839,0.012340837579587077,1,1
10,0.16590111327735282,0.15457290893505035,1,1
11,0.6827967232546928,0.6587734370092231,1,1
12,1.4843638986552827,1.4527096298586772,1,1
13,2.3854749884988316,2.356094205528291,1,1
14,3.3012002870946016,3.8427331503527,1,1
15,5.0380906863999995,5.130614761465404,1,1
16,6.094648027846504,6.163552922215963,1,1
17,7.022129476392752,6.8826664678596625,1,1
18,7.339502977230633,7.2284197516906525,1,1
19,7.40732601526498,7.309567271115258,1,1
20,7.275615157654444,7.2029224762901825,1,1
21,7.004305583476342,7.025738622979562,1,1
22,6.764733465997482,6.980099544730026,1,1
23,6.267737403203545,6.929405136146334,1,1
24,6.290462222245421,6.885898376020096,1,1
25,6.555199450255664,7.035800590717676,1,1
26,6.772400618695763,7.197756131549615,1,1
27,7.0010764383323885,7.380132471420946,1,1
28,7.22014903492035,7.520949924179413,1,1
29,7.459743178665551,7.637770682864329,1,1
30,7.640550737519137,7.732795158773064,1,1
31,7.775323212606756,7.78423593016237,1,1
32,7.806474189250338,7.805877172508054,1,1
33,7.889660845888334,7.876752379379832,1,1
34,7.9420651297593166,7.833148088425975,1,1
35,7.932417391749138,7.909497157286078,1,1
36,7.773374840913368,7.931035556835814,1,1
37,7.95491941008529,7.95595944268275,1,1
38,7.9726536217915465,7.940137860863998,1,1
39,7.980434689971662,7.940253322044793,1,1
40,7.9802447471631925,7.942227875093276,1,1
41,7.976199007220062,7.9223161720833435,1,1
42,7.978525995700894,7.908347143224567,1,1
43,7.978001245174992,7.838572651360529,1,1
44,7.977730013877415,7.8917529642500615,1,1
45,7.9722181530103775,7.897902173248556,1,1
