,episode_0_reward,episode_0_color_easy
0,0.0011370918487000259,1
1,0.020730104711235063,1
2,0.10263750790107355,1
3,0.28812315205307093,1
4,0.6119031015215051,-1
5,0.8989757749841067,-1
6,0.8180811607262806,-1
7,0.4652007463061679,-1
8,0.14465646294501167,-1
9,0.012259135699456613,1
10,0.1697776077919534,1
11,0.7002664346139917,1
12,1.5032972178944322,1
13,2.3876993148452157,1
14,3.319630297428683,-1
15,4.966969295764925,-1
16,6.115314219931756,-1
17,6.803113640912033,-1
18,6.907001992011105,-1
19,6.891365390517487,1
20,6.626768019156976,1
21,6.0829669157261,1
22,6.269636384473401,1
23,6.055399106978124,1
24,5.6006342523521795,-1
25,5.936416309242015,-1
26,6.087344185055148,-1
27,6.278460049967712,-1
28,6.421487351054862,-1
29,6.688151392657516,1
30,7.0209909076200825,1
31,7.272354983873162,1
32,7.447547696991627,1
33,7.636960767286185,1
34,7.748442190465634,-1
35,7.737702240140158,-1
36,7.731737887801389,-1
37,7.793915957481506,-1
38,7.727935272008472,-1
39,7.715994771882823,1
40,7.757233707746895,1
41,7.7692690389550565,1
42,7.812712567905976,1
43,7.835137089271201,1
44,7.85298195539131,-1
45,7.8608873065156075,-1
46,7.8595504732630195,-1
47,7.877531039984097,-1
48,7.8879685359818605,-1
49,7.880000004599284,1
50,7.888402944654783,1
51,7.945983215373858,1
52,7.960297960376893,1
53,7.95489204181051,1
54,7.967058893571831,-1
55,7.960145800886577,-1
56,7.97764121846547,-1
57,7.987326268448285,-1
58,7.990344959079702,-1
59,7.971845227750965,1
60,7.982088956353155,1
61,7.990158293647589,1
62,7.976456318996268,1
63,7.987719915551338,1
64,7.970825887894148,-1
65,7.980983593128629,-1
66,7.9857225451391205,-1
67,7.987882569657586,-1
68,7.9665246325412085,-1
69,7.962641961632096,1
70,7.969865981222777,1
71,7.94676999490437,1
72,7.923729151568796,1
73,7.911181888235058,1
74,7.939408238949639,-1
75,7.9367766185990964,-1
76,7.947781340009688,-1
77,7.951026490353297,-1
78,7.972544079348987,-1
79,7.971233046312857,1
80,7.9680246322401995,1
81,7.987989542437022,1
82,7.990781992546959,1
83,7.981419059100784,1
84,7.993485844114978,-1
85,7.994592973066281,-1
86,7.965532993700762,-1
87,7.972843558642057,-1
88,7.977085140540603,-1
89,7.941984422357101,1
90,7.911982038733833,1
91,7.977394680516715,1
92,7.981172137686857,1
93,7.9869474220737455,1
94,7.977010372176438,-1
95,7.93044142554904,-1
96,7.974244568229491,-1
97,7.972662543309604,-1
98,7.965461408707709,-1
99,7.990716091017715,1
100,7.978595643054898,1
101,7.972803286827797,1
102,7.918860463266285,1
103,7.930217748706201,1
104,7.974011808827565,-1
105,7.984413140558186,-1
106,7.951107668431283,-1
107,7.937411156535776,-1
108,7.954565038282139,-1
109,7.924040006466076,1
110,7.9425234193183645,1
111,7.971452631569113,1
112,7.9724524209117105,1
113,7.957301312824356,1
114,7.96769083398717,-1
115,7.9851339916785085,-1
116,7.941212460307214,-1
117,7.97161472409962,-1
118,7.887750564296338,-1
119,7.944043679382315,1
120,7.946564828659419,1
121,7.96257962017803,1
122,7.9107109721589435,1
123,7.963062523846128,1
124,7.929706523025517,-1
125,7.9766843536533205,-1
126,7.97722859787958,-1
127,7.978913882234678,-1
128,7.953679696165953,-1
129,7.911286603897099,1
130,7.97625685208102,1
131,7.982135265461058,1
132,7.976600242038743,1
133,7.909701575341093,1
134,7.939650470232458,-1
135,7.975317292083981,-1
136,7.966622608867969,-1
137,7.944510857313411,-1
138,7.945698027080526,-1
139,7.958403006234604,1
140,7.972969351424564,1
141,7.975538081862899,1
142,7.971754411311328,1
143,7.894426891502533,1
144,7.88881860778839,-1
145,7.938115213353663,-1
146,7.945974748700784,-1
147,7.91717331383429,-1
148,7.940191127314951,-1
149,7.923367471384769,1
150,7.925995888043631,1
151,7.966342291272529,1
152,7.97698151400253,1
153,7.984376677008232,1
154,7.958196658998472,-1
155,7.977814361112577,-1
156,7.9724680589236,-1
157,7.941515483371194,-1
158,7.938441693931225,-1
159,7.943894980911031,1
160,7.966617974024734,1
161,7.9766339218719375,1
162,7.924212254780421,1
163,7.8577230325961285,1
164,7.936485453618651,-1
165,7.94877813231901,-1
166,7.936324589602725,-1
167,7.901859475928476,-1
168,7.909018253748795,-1
169,7.8759518584247985,1
170,7.907092467581152,1
171,7.952193571041042,1
172,7.957925905510749,1
173,7.948617167630179,1
174,7.963519764431898,-1
175,7.9897316851033855,-1
176,7.985055349082132,-1
177,7.97802175598413,-1
178,7.97330026019655,-1
179,7.960018651539765,1
180,7.975267617409538,1
181,7.951886864143958,1
182,7.842989994717495,1
183,7.902240593041196,1
