,episode_0_reward,episode_0_train
0,0.0011370918487000259,1
1,0.020730104711235063,1
2,0.10263677021664817,1
3,0.288123682623836,1
4,0.6119055983241224,-1
5,0.8989817430547746,-1
6,0.8180766244887561,-1
7,0.4652054217636014,-1
8,0.14465857482177186,-1
9,0.012259272842272986,1
10,0.16977645009906508,1
11,0.7002744514540157,1
12,1.5032964352018936,1
13,2.3876985514517846,1
14,3.320187107079299,-1
15,4.966399756330256,-1
16,6.1154857575985755,-1
17,6.805319617513821,-1
18,6.908631246725746,-1
19,6.887632952287318,1
20,6.603959285923072,1
21,6.0206923369764285,1
22,6.295956508723363,1
23,6.098493324070308,1
24,5.531128485247248,-1
25,5.971533197220822,-1
26,6.141128560198772,-1
27,6.280779759321056,-1
28,6.420242949800009,-1
29,6.7046540536571735,1
30,6.998704676729381,1
31,7.254105789917996,1
32,7.488583861585061,1
33,7.64162405942186,1
34,7.766960152486699,-1
35,7.700999443417203,-1
36,7.876854588524718,-1
37,7.804109474765992,-1
38,7.775966762633508,-1
39,7.696181532449213,1
40,7.706312528790048,1
41,7.741854284132911,1
42,7.785282217335129,1
43,7.811148394356427,1
44,7.841957287763181,-1
45,7.864193050542765,-1
46,7.879858777568305,-1
47,7.889197254950319,-1
48,7.892173523023833,-1
49,7.905783498965717,1
50,7.950382416063391,1
51,7.9653728006863895,1
52,7.939862281851802,1
53,7.929785454477789,1
54,7.899817364904498,-1
55,7.9384479752775725,-1
56,7.95237772663439,-1
57,7.919848138247045,-1
58,7.925509647382001,-1
59,7.988646856642227,1
60,7.984629748616053,1
61,7.939503895983073,1
62,7.960398862357016,1
63,7.9328911879496244,1
64,7.963910003896294,-1
65,7.933459508804248,-1
66,7.958285644678924,-1
67,7.956324163995748,-1
68,7.924267924769646,-1
69,7.9333528882528785,1
70,7.8994438501371205,1
71,7.860683285019643,1
72,7.755516433055821,1
73,7.845729464307527,1
74,7.859911152686733,-1
75,7.9001092587465385,-1
76,7.92975040619689,-1
77,7.9482797436231,-1
78,7.958811445816847,-1
79,7.951747352128724,1
80,7.934255936882963,1
81,7.960915438108282,1
82,7.972219356548951,1
83,7.977089859886385,1
84,7.98460909073756,-1
85,7.987714682835997,-1
86,7.992094231493226,-1
87,7.992605794461429,-1
88,7.965906238408992,-1
89,7.9567974429412605,1
90,7.931594187116482,1
91,7.934487150567435,1
92,7.905737071848267,1
93,7.8826812941673525,1
94,7.921703217456612,-1
95,7.9410484332157285,-1
96,7.9533560603478985,-1
97,7.968230309621153,-1
98,7.9608183167536914,-1
99,7.97049793480596,1
100,7.898461858825458,1
101,7.984423333141772,1
102,7.982350588418752,1
103,7.990088954875578,1
104,7.990845646262164,-1
105,7.995659694598098,-1
106,7.995291663194625,-1
107,7.9718312886184615,-1
108,7.9816180159699215,-1
109,7.961118999703712,1
110,7.967222315787187,1
111,7.951352424885464,1
112,7.922947431923645,1
113,7.873060841975673,1
114,7.9260177233611255,-1
115,7.911209868830429,-1
116,7.962520440614807,-1
117,7.969457795427018,-1
118,7.9870617536086135,-1
119,7.954395811041369,1
120,7.984985854556525,1
121,7.99316086728215,1
122,7.996589582456095,1
123,7.99144628891089,1
124,7.996955453069161,-1
125,7.993586106604336,-1
126,7.995411057122093,-1
127,7.98146658413909,-1
128,7.976820145210396,-1
129,7.9390257495401775,1
130,7.93233552345856,1
131,7.913423000637569,1
132,7.925346247274838,1
133,7.849691582465512,1
134,7.8783441253110045,-1
135,7.94731930336466,-1
136,7.917120163896067,-1
137,7.953939090619107,-1
138,7.9298968274511275,-1
139,7.958329280232138,1
140,7.954652912400368,1
141,7.980716007929411,1
142,7.980928423612059,1
143,7.980035092047649,1
144,7.968433948932445,-1
145,7.989186901130369,-1
146,7.9886200697678165,-1
147,7.980464346353085,-1
148,7.979520351886446,-1
149,7.95018511388797,1
150,7.965055455294392,1
151,7.951181108576692,1
152,7.938140797787337,1
153,7.902114772819941,1
154,7.819159095030917,-1
155,7.909768681888958,-1
156,7.952162417186586,-1
157,7.945487280615958,-1
158,7.984198237028966,-1
159,7.981877510982694,1
160,7.941742664031054,1
161,7.969117776163415,1
162,7.9896438109627725,1
163,7.986211555669755,1
164,7.991654038672971,-1
165,7.9627289185960635,-1
166,7.970487942996184,-1
167,7.944226707823775,-1
168,7.961624575101178,-1
169,7.961214583163865,1
170,7.944095951551464,1
171,7.935105797423965,1
172,7.8755772205840024,1
173,7.828946868640495,1
174,7.9355059164928115,-1
175,7.865413420271437,-1
176,7.950654145038525,-1
177,7.961179307649166,-1
178,7.940698557375219,-1
179,7.962512825427711,1
180,7.952455613535137,1
181,7.97497831348448,1
182,7.966655847649524,1
183,7.970345639411812,1
