,episode_0_reward,episode_0_color_hard
0,0.0011374688581284203,0
1,0.020745551011550564,0
2,0.10263064375210393,0
3,0.2910128113061413,0
4,0.6108829717726089,0
5,0.891809920202986,0
6,0.8072202506948184,0
7,0.44937430255013555,0
8,0.13651252710505715,0
9,0.011777705820895537,0
10,0.1727493305204611,0
11,0.6957660989966,0
12,1.5004231193917599,0
13,2.4012864749988188,0
14,3.4122540460271997,0
15,5.071036505816605,25
16,6.1482103121522815,50
17,6.97569191814907,75
18,7.277866830826566,0
19,7.361905207542227,25
20,6.019464115670848,50
21,7.012157569506174,75
22,7.0702805656627845,0
23,6.952735715761882,25
24,6.80035615255612,50
25,6.575296625271588,75
26,6.407415165647296,0
27,5.7767161588362805,25
28,5.2310614695768365,50
29,4.298938530641463,75
30,3.0378527583117876,0
31,2.688821444352412,25
32,1.771298306035326,25
33,1.0532931864231057,25
34,0.357219687726641,25
35,0.06130883795933057,25
36,0.02837983569975733,25
37,0.18347294708469333,25
38,0.41329033086616707,25
39,0.8324606464467287,25
40,1.3518169568681144,25
41,1.929480101251393,25
42,2.492879176447597,25
43,2.9543780551651544,25
44,3.259162335429773,25
45,3.3919929611568245,25
46,3.3527984781980558,50
47,3.1360132413145156,75
48,2.6919823371256086,0
49,2.338971422701963,0
50,1.5962975320630373,0
51,0.9042106195904289,0
52,0.46265633580223336,0
53,0.12737012235715922,0
54,0.023220733324269632,0
55,0.29174685600857814,0
56,0.9293136049577447,0
57,1.4849717548500925,0
58,2.9558586033156,0
59,4.288201068481946,0
60,5.532146779837352,25
61,6.2093562223494105,50
62,6.005233070965883,75
63,4.90417139194836,0
64,3.7383967314574407,25
65,2.0663848667806426,50
66,1.4147857960769017,50
67,0.5108129159421756,50
68,0.06830844412828135,50
69,0.10896280712097271,50
70,0.6159496886980359,50
71,1.1754870920374203,50
72,1.581137876786692,50
73,2.294008012871162,50
74,2.674312360362917,50
75,3.1674640924619513,50
76,4.201088174555841,75
77,5.033182344164788,0
78,5.85461373898669,25
79,6.463070940930995,50
80,6.458463342006359,75
81,6.5036961511702795,0
82,5.987312251770871,25
83,5.9078516822440825,50
84,6.247747563436027,75
85,5.057225877976434,0
86,4.464072544537022,25
87,3.138579550898881,50
88,2.035237902061915,75
89,1.0335711638760312,75
90,0.2667581434448055,75
91,0.02855679766483212,75
92,0.3572548089896429,75
93,1.1392519637380245,75
94,1.9126950039391664,75
95,2.948232483047109,75
96,4.504411445902011,75
97,5.815786843898934,0
98,5.427309893288848,25
99,5.37099690719187,50
100,6.8030998906948,75
101,6.689044715114297,0
102,7.132107083612139,25
103,6.080446479932367,50
104,6.877989479663835,75
105,4.892069764615733,0
106,4.6655320663748485,25
107,3.44143587389682,50
108,2.3008251298589846,75
109,1.1179988462790138,75
110,0.5396168123706193,75
111,0.06485561396627712,75
112,0.15981211530180153,75
113,0.7364106475809101,75
114,1.4447600662784028,75
115,2.02094243217497,75
116,2.509780141815674,75
117,2.5287436126959757,75
118,2.1930238509421573,75
119,1.925694907472181,75
120,1.3381523665853172,75
121,0.5817511758242535,75
122,0.0673541305880936,75
123,0.19893395105704204,75
124,0.8714028715785522,75
125,1.6125688222843897,75
126,2.1133978908934115,75
127,2.204147731814167,75
128,1.942364824282197,75
129,1.334011619168153,75
130,0.5645745132893565,75
131,0.06079977600587525,75
132,0.21325187976086923,75
133,0.8929108514226227,75
134,1.6249161429713352,75
135,2.1149694251906386,75
136,2.2042763718062677,75
137,1.9394537476382272,75
138,1.3324468530156635,75
139,0.5655816179563237,75
140,0.06156873972074447,75
141,0.20958314879170759,75
142,0.8844492444408001,75
143,1.6163191085716626,75
144,2.1107823627915585,75
145,2.2066467215864405,75
146,1.9529305143552402,75
147,1.3573676123775273,75
148,0.5927778981951171,75
149,0.07046443479445141,75
150,0.1891849001455514,75
151,0.8479777235791519,75
152,1.5843241236894683,75
153,2.095296378857227,75
154,2.2104940560207638,75
155,1.9816166352090987,75
156,1.4079621516405447,75
157,0.6470081382145069,75
158,0.0904698413636021,75
159,0.1549034168531397,75
160,0.7846279526842571,75
161,1.5278973457300735,75
162,2.0587475660200854,75
163,2.214909997562083,75
164,2.022704657894611,75
165,1.4821304699360947,75
166,0.7293677942019265,75
167,0.126933018215809,75
168,0.11209947685910393,75
169,0.6954671181232079,75
170,1.4470777598101139,75
171,2.01462364266213,75
172,2.21470340042691,75
173,2.0721488644955133,75
174,1.576710159407864,75
175,0.8407405164429786,75
176,0.18703390270244277,75
177,0.06912302757152902,75
178,0.5834645398177936,75
179,1.3331914578705095,75
180,1.9440238603999849,75
181,2.2079266588079935,75
182,2.124738953627958,75
183,1.687271330882806,75
184,0.9808487615996477,75
185,0.2787681699236988,75
186,0.037629457303653226,75
187,0.4525691254076333,75
188,1.1950936238266905,75
189,1.8444052062212055,75
190,2.1894773199014614,75
191,2.173188781927831,75
192,1.807707412082287,75
193,1.1471269731034082,75
194,0.4093300411820307,75
195,0.032443316477367604,75
196,0.31219961895977183,75
197,1.0226073556574038,75
198,1.7096429346156687,75
199,2.1482452675420625,75
200,2.2079352873157427,75
201,1.9301844936727968,75
202,1.333812554302736,75
