,episode_0_reward,episode_1_reward,episode_2_reward,episode_3_reward,episode_4_reward,episode_5_reward,episode_6_reward,episode_7_reward,episode_8_reward,episode_9_reward,episode_10_reward,episode_11_reward,episode_12_reward,episode_13_reward,episode_14_reward,episode_15_reward,episode_16_reward,episode_17_reward,episode_18_reward,episode_19_reward,episode_20_reward,episode_21_reward,episode_22_reward,episode_23_reward,episode_24_reward,episode_25_reward,episode_26_reward,episode_27_reward,episode_28_reward,episode_29_reward,episode_30_reward,episode_31_reward,episode_32_reward,episode_33_reward,episode_34_reward,episode_35_reward,episode_36_reward,episode_37_reward,episode_38_reward,episode_39_reward,episode_40_reward,episode_41_reward,episode_42_reward,episode_43_reward,episode_44_reward,episode_45_reward,episode_46_reward,episode_47_reward,episode_48_reward,episode_49_reward,episode_50_reward,episode_51_reward,episode_52_reward,episode_53_reward,episode_54_reward,episode_55_reward,episode_56_reward,episode_57_reward,episode_58_reward,episode_59_reward,episode_60_reward,episode_61_reward,episode_62_reward,episode_63_reward,episode_64_reward,episode_65_reward,episode_66_reward,episode_67_reward,episode_68_reward,episode_69_reward,episode_70_reward,episode_71_reward,episode_72_reward,episode_73_reward,episode_74_reward,episode_75_reward,episode_76_reward,episode_77_reward,episode_78_reward,episode_79_reward,episode_80_reward,episode_81_reward,episode_82_reward,episode_83_reward,episode_84_reward,episode_85_reward,episode_86_reward,episode_87_reward,episode_88_reward,episode_89_reward,episode_90_reward,episode_91_reward,episode_92_reward,episode_93_reward,episode_94_reward,episode_95_reward,episode_96_reward,episode_97_reward,episode_98_reward,episode_99_reward,episode_0_color_easy,episode_1_color_easy,episode_2_color_easy,episode_3_color_easy,episode_4_color_easy,episode_5_color_easy,episode_6_color_easy,episode_7_color_easy,episode_8_color_easy,episode_9_color_easy,episode_10_color_easy,episode_11_color_easy,episode_12_color_easy,episode_13_color_easy,episode_14_color_easy,episode_15_color_easy,episode_16_color_easy,episode_17_color_easy,episode_18_color_easy,episode_19_color_easy,episode_20_color_easy,episode_21_color_easy,episode_22_color_easy,episode_23_color_easy,episode_24_color_easy,episode_25_color_easy,episode_26_color_easy,episode_27_color_easy,episode_28_color_easy,episode_29_color_easy,episode_30_color_easy,episode_31_color_easy,episode_32_color_easy,episode_33_color_easy,episode_34_color_easy,episode_35_color_easy,episode_36_color_easy,episode_37_color_easy,episode_38_color_easy,episode_39_color_easy,episode_40_color_easy,episode_41_color_easy,episode_42_color_easy,episode_43_color_easy,episode_44_color_easy,episode_45_color_easy,episode_46_color_easy,episode_47_color_easy,episode_48_color_easy,episode_49_color_easy,episode_50_color_easy,episode_51_color_easy,episode_52_color_easy,episode_53_color_easy,episode_54_color_easy,episode_55_color_easy,episode_56_color_easy,episode_57_color_easy,episode_58_color_easy,episode_59_color_easy,episode_60_color_easy,episode_61_color_easy,episode_62_color_easy,episode_63_color_easy,episode_64_color_easy,episode_65_color_easy,episode_66_color_easy,episode_67_color_easy,episode_68_color_easy,episode_69_color_easy,episode_70_color_easy,episode_71_color_easy,episode_72_color_easy,episode_73_color_easy,episode_74_color_easy,episode_75_color_easy,episode_76_color_easy,episode_77_color_easy,episode_78_color_easy,episode_79_color_easy,episode_80_color_easy,episode_81_color_easy,episode_82_color_easy,episode_83_color_easy,episode_84_color_easy,episode_85_color_easy,episode_86_color_easy,episode_87_color_easy,episode_88_color_easy,episode_89_color_easy,episode_90_color_easy,episode_91_color_easy,episode_92_color_easy,episode_93_color_easy,episode_94_color_easy,episode_95_color_easy,episode_96_color_easy,episode_97_color_easy,episode_98_color_easy,episode_99_color_easy
611,3.6642795220570363,0.10385122893492194,3.9298551229430303,0.1040171361934603,1.514670520017914,3.9994900982958623,0.08349303151276068,0.2730718726608132,0.10567069190644669,0.2646902735902955,3.9994129150365256,1.9710424209225545,3.5112953247385366,2.0335992928973274,0.8651807637154887,0.08205120165262565,3.993280122615554,1.0780610622300666,0.4731419754467927,0.39671037463715,0.03281048608765094,1.9559344693926621,3.823664768053465,0.6765191946442429,1.7264002322355865,0.4788025399544964,2.767220714558046,0.6973548115085667,2.630526294461075,0.10388311683408145,3.9890391415335786,3.2188401152015347,3.521904780503482,0.08349303057588524,2.525534957780517,0.25466837084939403,1.0409982483130467,1.2928586003641311,0.10570048122469912,1.6130977998740939,3.9609022670567624,0.17783408388990607,0.2397958863999422,1.0912219195241104,3.919413596444689,2.4197157593055225,2.005880811612636,0.10569716984230619,3.219421177013658,2.388852897915193,3.988778413211426,3.3906943017738302,3.960993646828667,0.35256181935704234,1.575497236463309,3.8428640357294293,3.0492576710904986,0.10569362319904307,0.10569479647654986,0.08349333943922342,0.13554046036013792,0.0328085683164436,3.982248243842742,2.577671070054279,2.586739699434026,2.382435367399455,3.4692192489260534,3.9898945574726548,0.15784536565624835,0.14063973430805876,3.953357315656568,3.971809628779567,0.3257770583176748,3.556519766304171,2.3863306003349862,2.3529366122932904,3.95703221116166,0.3065511414296148,3.864410946498658,0.11061885948217531,3.1637211767448337,0.22926969834642408,3.9890190514794206,3.9836420728757758,0.10569631014417918,0.5774495216682132,3.5278033344009083,3.104457804181308,2.340904648205313,0.10569614668346584,0.10388943304336204,3.9995888834326387,3.9860624825405035,0.2687350252017507,1.3094102234157972,2.406791495273787,0.08349321835733087,0.25429434142074614,1.7676377864528803,0.8338236397594605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
612,3.9481309695332976,0.10385112761824553,3.6954988726444635,0.12590773838410105,2.1649621714679923,3.996638070456405,0.08349303146794666,1.716660857622534,0.10567069598573216,0.2286590573564751,3.9976907703059985,2.1059678198932525,2.9571559901373026,1.0404937762218915,1.4994225067276183,0.05293242704745009,3.9860719558169104,0.9220749920494352,0.6098597044131249,1.5129488988773665,0.03281047079647998,2.0146555523879632,3.9961495405412393,0.5498214722749878,1.4761814272252678,0.46713303535935485,2.723578760802538,0.2489083597315083,3.8459174923821506,0.10388317306353959,3.990827231856334,2.257193117165547,3.9992818475246876,0.08349303080114379,2.3915487784233944,0.2547153395950977,0.6901216768030201,1.0283943693292354,0.10570002789542686,1.6687498216088235,3.999573465992865,0.4248385201408419,0.34767865734992465,1.5123547780298825,3.8645097127526564,2.7560385593448538,2.4267491555974807,0.10569717095670314,2.2287496910276534,1.3473330971095359,2.5995674053183118,3.975415893624283,3.9722732914540386,0.706429741507053,1.3423778077110584,3.9744584576215143,3.5317194384500286,0.10569361145621063,0.10569479371721763,0.08349334009539551,0.07962260003495428,0.03280856492470043,3.9986561486747902,3.260356106937539,2.6018498595975657,2.079443925131044,3.950617325292766,3.986620563142453,0.2732514384028844,0.25607344285264544,3.998349245184752,3.9890605900911913,0.2531697645907844,2.3431609516599026,1.389803683386075,2.3547363412728037,3.9901310333139954,0.45395286956053216,3.743435574402662,0.16943422460380353,2.7821330849441805,0.19849603318277087,3.9776148100286304,3.9992485871214187,0.1056963069788892,0.2824086996008039,3.1651950900748544,3.213256170839662,1.6538241314763813,0.10569614660152993,0.10388947575700716,3.9816491885151937,3.972522960047873,0.26882033078767187,0.14502795952017947,2.864847362922743,0.0834958378596409,0.25432700030412286,1.1268247323240441,0.5312193695657593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
613,3.807152584969457,0.10385107826811356,2.8074663379236933,0.1844916920943038,3.1491235678313974,3.9954222425739334,0.08349303095450965,2.9365374928746726,0.10567079960606604,0.11364381644978191,3.9987674638497976,2.2040305229799206,1.9073950094638874,0.6947479789302333,1.5836945503193953,0.637484785577983,3.976806956891442,0.9162802684861937,0.25793569866183774,3.160451564165182,0.03281046088603383,1.2432458401000106,3.9929687986430378,0.36130251656202106,2.1026076238216787,0.32390726705265543,2.744420127436129,0.3007937186811051,3.990640405544858,0.1038830285543935,3.993256598426107,1.9634591829083703,3.996486568572562,0.0834930318192497,2.1953227748156814,0.2547609854188631,0.3189322971452029,0.8927736618763262,0.10570015685836805,1.0790596315242347,3.9970093322337252,0.6392872957412259,1.281630864269312,1.7409861902986772,2.334988826875971,3.1840679101577862,2.8500617831214243,0.10569717045888778,1.5324232104369724,1.6640080296670865,2.623132954988169,3.968887821743118,3.8419868064484026,0.7346878388720541,1.8128033813819422,3.9757252134707706,3.907558550127683,0.10569357704338993,0.10569478975954481,0.0834933395972661,0.06877152347203766,0.03280856471003163,3.9420740707427866,3.937538442914362,2.163631857543355,2.30301831771777,3.9940459450002037,3.966196119783762,0.18335102995693814,0.2560888492481475,3.997008084673975,3.990414355073361,0.3555747347987418,1.6373903622868697,1.4266744097811082,2.594134857263984,3.995622512618964,0.5585835882421162,3.4048546177473997,0.26004151392938,2.2387004573712104,0.20376415475158324,3.9886882672247004,3.999289962987197,0.10569630976786379,0.16394571032205532,3.591303308570258,2.5865026680294276,0.9978137944374924,0.10569614457907307,0.10388946831642326,3.529886656741783,3.951073281871788,0.2689057370251062,0.03778146980366233,3.501345619803129,0.08349325053374283,0.254363279834591,2.3236934955286364,1.1076938406714953,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
614,3.972834417035847,0.103850995503272,1.3797185486513657,0.21385240628406713,3.7037129284880326,3.9672382933826515,0.0834930310197172,3.3632915736939006,0.10567080769385802,0.19371719129637677,3.980966064763219,1.0837208668594132,1.6932810990196738,0.10846718308482013,2.360866500320125,1.6011574734380916,3.990560275754586,1.4195460639258173,0.18387900492868592,3.76976978330037,0.03281045563394297,1.3956640000672547,3.983158506651804,0.18880248626432752,2.8878837743588597,0.6652877158829801,1.920180839002272,1.0682388766367414,3.9991646737198328,0.10388302738862869,3.9928584806129055,1.7264265002753238,3.9955546055972357,0.08349303284942708,1.6222749968450647,0.2548049763908851,0.3075161493773744,1.3015657453377258,0.10570170356065899,1.4018464748186157,3.991272833805009,1.695617543752845,1.9775911355871876,2.205684871014994,0.4594172636668179,2.2806249435804813,3.170387412376596,0.10569716982743518,0.9947311528149312,2.709360309230278,3.9989942444975157,3.8504104534315196,3.1023290252184412,1.2123121636515997,2.1442252689073498,3.9097284792593534,3.9936255944563985,0.10569357236093398,0.10569478241275666,0.08349334004605874,0.2499456203924027,0.03280856665730383,3.7505135437253836,3.9679708825508606,1.8914432773447276,2.1941099306401575,3.9998565905906016,3.9740396358891465,0.17146861987373685,0.2564015343387821,3.997076628832381,3.9953210365459753,1.9699982089285435,2.4430434196642694,1.0707360937077615,2.5711335111358724,3.9956723471538886,0.5640212650444494,1.9253429668654969,0.6211243764030927,1.8155054721722739,0.2674343512979251,3.9943504902269193,3.990090145019716,0.10569630301857744,0.07264541478483279,3.867061441405599,1.888457246786481,0.45182056188741554,0.10569614501376333,0.10388945633130749,3.2508309732249354,3.956359316988862,0.26899160364857366,0.06835764040560667,3.9297825901078696,0.08349475415300513,0.2544006861808324,3.100634500148566,3.1276488625809464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
615,3.9956293108007093,0.10385084692960071,0.22705057944888352,0.1431692440632977,3.983625854867194,3.619431139640849,0.08349303087912441,3.1046315594028515,0.10567076860761367,0.7370962820241578,3.96869615863935,1.1689215944983218,1.519908324295568,0.09330306870656717,3.542809994826222,1.9432598845587492,3.9991352321098517,2.2355001223593174,0.9083633545330025,3.8945631307967465,0.032810447581830486,2.011957253523342,3.9876067194519114,0.12611287963265255,2.85366692156522,0.8080346223451604,0.44266512627607146,2.1680281345829124,3.970726758359467,0.10388304048599385,3.976882998985874,2.020703117972849,3.9980623564867876,0.0834930320649781,1.6659630893000796,0.25484823149285185,0.6771235079146614,1.0321978715012692,0.10569996755595372,1.2204981544379592,3.981752249898371,2.9105122876100102,1.746139796136195,2.458310092858405,0.1582954652146496,1.9635506752708167,3.818845975124609,0.10569717314274807,0.29110920677773455,3.2787842389524293,3.9966600435582182,3.1227761035594823,1.8241025834395244,1.1726277775168072,2.309524352537746,2.8549136852503127,3.997170515152959,0.10569355487060522,0.10569477374207897,0.08349333925920276,0.38249349171855807,0.032808563275760746,3.7601477971584187,3.739577179431167,1.8571993594787248,1.6089806859955955,3.9962744325492534,3.960517763123453,0.2623255313231011,0.6030430873749341,3.9989308732411177,3.8159654798950746,3.8631023948545287,3.157846155956594,0.7105093986586192,2.3099114999310584,3.9954241561385775,0.5532252478013209,1.493766162403047,1.5900667898934944,1.6415168984614537,0.31251102396603836,3.9785372954971763,3.9960005979216917,0.10569631143977773,0.02654831278533107,3.386523824004165,1.631625413817327,0.3401403470228069,0.10569614432497454,0.10388953707161347,3.2472637685260866,3.986640959262195,0.2690779345006879,0.14284808855876685,3.9979008983032522,0.08349947685514467,0.2544367684867413,3.434258681393679,3.952861843060782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
616,3.7526679366894826,0.10385064523348253,0.23930934849127802,0.3686057571071219,3.9944486908237127,2.7137748450993615,0.08349303068706179,2.082863476170199,0.10567065573283857,1.3903388892229789,3.9255715659444492,1.8703547037541104,0.8048582246205127,0.10521190614922978,3.3483374516231317,2.4633879932505733,3.8407978615197034,2.984548590970829,2.4748389336212493,3.507497332220905,0.03281044645439383,2.0999421700313388,3.9996702424966006,0.7532109910141604,1.8020891556771843,0.32523561450124155,0.04659600968391872,2.6483857829569253,3.717929584938063,0.10388304848507483,3.9720775876930285,3.0386311480722017,3.9418385593378193,0.08349303337743773,1.5655740492365486,0.2548908795062119,0.7711231097818938,1.366304304101941,0.10570021840857652,1.7362672074707812,3.905260602607304,3.779740457244934,1.3545805856371773,2.0242314488178677,0.2577678493210599,3.059767115633842,3.995488502500337,0.10569717180188701,0.33789048973528746,3.9373839582398595,3.895986245061236,1.5188610098687028,0.8354600498967163,1.200805472761123,2.967410918652422,1.2319433064471161,3.9970260387464607,0.10569354828302753,0.10569476332023077,0.08349333961014252,0.4419927243367572,0.03280856468243495,2.8590277728207663,3.5522020643057277,2.6353641933935883,1.5341820877914383,3.9848015153076326,3.768787940128614,0.10512642456205457,0.38309563281061504,3.99806512935947,3.5938101471418693,3.968821198321123,3.239943408544224,0.3421025848431418,2.0272451118274044,3.9760117077644335,0.8777669106773658,1.6696745417428085,2.967862458073374,1.1038482321645668,0.3633223703853324,3.981923749534525,3.999571749121463,0.10569630370477166,0.024416718550447317,2.505786520089361,1.2460842633477223,0.1397109926161674,0.10569614449894611,0.10388954648952332,2.887589203014806,3.9918216087522658,0.26916469039201596,0.2978356362515174,3.9854397833063175,0.08349496817421316,0.25447444874208697,2.7060607433245,3.9408267357533404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
617,2.561641156942657,0.10385029695268934,0.27860007516748,1.5851767032356752,3.9262515793581634,2.00348210557927,0.08349303107241453,1.658408735318041,0.10567104198310358,1.3081847877668225,3.6477133761715397,3.2133188949763367,0.2590767671383001,0.053897091909651834,2.613446005918064,2.373208009577445,2.5628032806917607,3.091659791965143,3.557402319828806,2.1525535398012,0.03281045156365184,2.189935935572316,3.9898425029222295,2.1515202958891426,0.7043478451122936,0.14030266079914666,0.195968500636439,2.4872933356844222,2.613388025746456,0.1038831377608173,3.9824373446779107,3.810368961365855,3.923140012016155,0.08349303162915189,1.4232085638791871,0.2549323287963762,0.43023042109090937,2.462286782755201,0.10569970212791327,1.7088766846196055,2.538802325145255,3.747611323591212,2.1109804466036883,1.7709089471264468,0.3556017658978887,3.308439302361384,3.9945250261022536,0.10569717330812942,0.39228940382957905,3.9738477560244774,3.9732699402151,0.29003437654970216,1.237606909372197,1.8951191381821357,3.737552504855664,0.4048375227869014,3.9990986358591263,0.10569353267661674,0.10569475312394921,0.08349333960181311,0.3963971162110419,0.032808558956508985,1.9637144281236276,3.1739873263123117,2.231303186524541,0.9991853528442695,3.9820608788374385,3.33894807107068,0.6979974603509748,0.24008299353595294,3.9754097613771537,3.978545070787907,3.65049706950914,3.558692767435402,0.08202713695885877,1.8641040209509936,3.9325581862804895,1.5466732345731546,1.3246783788121212,3.5999281779249555,0.6554348046483158,0.8057582816631357,3.773311992412785,3.9564971692425632,0.10569630559593755,0.03317695726262106,1.5847986641291778,1.881407583149014,0.08516703320652297,0.10569613927423877,0.10388958371198677,2.611622158391429,3.9635591358488953,0.2692522166846112,0.23697192366735986,3.5482157921504767,0.08349657347736035,0.2545123433067251,1.8442537127335437,3.940775412197236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
618,1.011387011759622,0.10385013909037145,0.31411257266364023,3.4269214205286915,3.9660127448489715,2.3358725227937307,0.0834930305577867,1.3889957171896798,0.10567100363041454,0.9333325978804878,3.731892471707847,3.980996495341211,0.3107604212627606,0.16385375625770038,2.112983078659315,2.0479732590586797,1.8285379809285158,3.993415720435708,3.888503026265368,2.0992552529970285,0.032810450586212285,2.793955281274699,3.9915501005601306,2.705861895351279,0.23274649011042303,0.4324611735887024,0.3263634283013448,2.6327801850177774,1.493215840154551,0.10388321106872085,3.964784144536492,3.996753567745096,3.955564278505921,0.0834930320159028,1.9774227862880398,0.25497229672085475,0.4222381363235669,3.20934208950981,0.10570030500618739,2.2031918862954756,1.4466419574576679,3.870310140895817,2.1048684054541,1.7086291670544367,0.41244609281365535,3.793820089118184,3.9738787434761247,0.10569716989040474,0.462006124644362,3.9793963722040737,3.8728080282717032,0.37904089804447905,1.7921965273769023,1.9631181429395674,3.979702828319168,0.2618194791312735,3.9943217347869004,0.10569352017210881,0.1056947442056894,0.0834933393150327,0.9682507605763835,0.03280856057774179,2.0307705092099306,3.0816077344744217,1.837687904208539,0.4817330988534664,3.246679083640837,3.329370834757804,1.5325794483215782,0.08359576831566533,3.9425162707065557,3.9822236335742756,2.0453160991392227,3.9077541946916217,0.7172989964386314,2.8041921152283265,3.7894649885315435,1.7714256277160567,0.8568005880143231,3.981047589213485,0.32678977528967545,1.4555158475809047,3.605196323443368,3.9984861516518553,0.10569630454747618,0.13800302500593709,1.3181192371029786,2.8066233625047627,0.06808616765412918,0.10569613817837266,0.10388954018470678,2.2417840307975703,3.9827837253704823,0.2693407540803031,0.2240648644479789,3.368224919803389,0.08349478692488772,0.25455102486402575,1.296374066342365,3.999226535202755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
619,0.23740761317358133,0.10385000693250304,0.3558548020154553,3.902207438824615,3.774814557186067,3.3814935687894008,0.08349303080379684,2.05094166035094,0.10567110283060302,0.7707325980317663,3.7717382932572563,3.991902426367172,0.8932266531550389,0.5903279071223596,2.027810789693808,2.327653509232902,1.261878701410041,3.9920299297271935,3.4857884101908865,2.262809449122596,0.03281044661559105,3.1462144464233015,3.9982949789973867,2.386155298852409,0.3034305704090711,1.3059302484402189,0.3161454067456005,2.6271498412453154,2.013112892610669,0.10388323089866656,3.959209575619649,3.993327577833528,3.8295578374164614,0.08349303169656305,2.7222902013727945,0.2550112496197235,0.4501472409557643,2.9160453393062356,0.10569973954276618,3.427494201260169,0.8225704729291936,3.758890041013234,2.087031511828949,2.3128797534670724,1.0004697125476671,3.6293730549092253,3.9205205018693685,0.10569716884267906,0.5358059578129569,3.9963775690804,3.757764779966222,0.9579528845793601,1.2812396014492238,1.9406296380227854,3.9994330611314894,0.9485198100477557,3.817979586262242,0.10569350541325176,0.10569473670532128,0.08349334021629808,3.7195194714123576,0.032808573726573295,2.4787280426367273,2.193100193232059,2.256515584330845,0.32670780636748925,1.3835211101249714,3.837148949579783,1.9144897158725043,0.10733814388355828,3.9445472544589038,3.760643984391994,0.25461768943667656,3.9989176168489275,1.7764973448145702,3.8557322578299837,3.7235635928186097,1.5745153982863658,0.3953749634015624,3.993460603304654,0.18035869381615094,0.9739170472306479,3.7647517144564713,3.998230934196279,0.1056963018648122,0.17953504487324892,1.9479886744308854,3.0529976330984807,0.11075060459781878,0.10569613818785177,0.10388955050209435,1.7858999483315823,3.6698206124563466,0.2694297272039807,0.5781689513524706,3.9756683405454654,0.08349529584660607,0.2545911140716598,0.6653575908831837,3.989290173386891,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
620,0.21450086633936347,0.10385060916213157,1.0943718377250098,3.994490301369352,3.192821603609384,3.985165595723258,0.08349303086364014,2.0970560103917615,0.1056710514395135,0.6501013254237157,2.914059767624827,3.966656357470634,1.4733530228174143,0.20254060569351365,2.2890817661941747,2.3558549024253304,0.6487825451901756,3.973180360566492,2.505933400020372,2.5970069857480866,0.032810440472540614,3.0759465763325813,3.994352834321066,2.90637129084072,0.8644316743322513,2.9520808801370793,0.3035493823437878,3.4073597733145373,2.870102850077054,0.10388363080120548,3.4880649596053996,3.963401652695954,3.7507707117647158,0.08349303059406131,2.2918586090052817,0.2550490697998177,0.2165263613378566,3.415731420915437,0.10569963106064476,3.694486360206867,0.3088846715278784,3.4947146086025658,0.9526109162520402,2.3075472129275925,1.9475202768975008,3.2980794923495376,3.9228407712570545,0.10569716992280798,0.6546260837085882,3.999448348777779,3.9210893492294443,1.7711290818944716,0.3230107546914557,1.4345330383895047,3.993378310644215,1.5683031427835523,3.053376293785351,0.10569349444337466,0.10569473322122123,0.08349334114772365,3.998851346419588,0.03280858281804269,2.0677221049079018,1.275985180566789,2.062308063045292,0.1603911627336451,1.205742814425203,3.9989001827775517,0.9140522671735789,0.8244548137355598,3.8999872141427354,2.2586391968844426,0.13646079232673464,3.9945760807178226,2.4122848038048383,3.8443616874300335,3.6596888682454507,1.4788450702559497,0.22460348887375484,3.9989585677048356,0.9041218072220254,1.3000937783275854,3.8411596047006187,3.9948598561350317,0.10569632201095623,0.20487364178263262,2.140155617020758,2.31485168518234,0.030998929400282406,0.10569613488447278,0.10388957183362309,2.473058428366854,2.9819135008123347,0.26951875781142437,2.026578249128286,3.9933591160102946,0.08349947721408638,0.2546330274672458,0.14073741525538905,3.982225268135537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
